filepath,label,video,frame,split
Flakings/1.MOV_20201221091849_5158.JPEG,flaking,1.MOV,5158,train
Flakings/1.MOV_20201221091849_5159.JPEG,flaking,1.MOV,5159,train
Flakings/1.MOV_20201221091849_5160.JPEG,flaking,1.MOV,5160,train
Flakings/1.MOV_20201221091849_5161.JPEG,flaking,1.MOV,5161,train
Flakings/1.MOV_20201221091849_5162.JPEG,flaking,1.MOV,5162,train
Flakings/1.MOV_20201221091849_5163.JPEG,flaking,1.MOV,5163,train
Flakings/1.MOV_20201221091849_5164.JPEG,flaking,1.MOV,5164,train
Flakings/1.MOV_20201221091849_5165.JPEG,flaking,1.MOV,5165,train
Flakings/1.MOV_20201221091849_5166.JPEG,flaking,1.MOV,5166,train
Flakings/1.MOV_20201221091849_5167.JPEG,flaking,1.MOV,5167,train
Flakings/1.MOV_20201221091849_5168.JPEG,flaking,1.MOV,5168,train
Flakings/1.MOV_20201221091849_5169.JPEG,flaking,1.MOV,5169,train
Flakings/1.MOV_20201221091849_5170.JPEG,flaking,1.MOV,5170,train
Flakings/1.MOV_20201221091849_5171.JPEG,flaking,1.MOV,5171,train
Flakings/1.MOV_20201221091849_5172.JPEG,flaking,1.MOV,5172,train
Flakings/1.MOV_20201221091849_5173.JPEG,flaking,1.MOV,5173,train
Flakings/1.MOV_20201221091849_5174.JPEG,flaking,1.MOV,5174,train
Flakings/1.MOV_20201221091849_5175.JPEG,flaking,1.MOV,5175,train
Flakings/1.MOV_20201221091849_5176.JPEG,flaking,1.MOV,5176,train
Flakings/1.MOV_20201221091849_5177.JPEG,flaking,1.MOV,5177,train
Flakings/1.MOV_20201221091849_5178.JPEG,flaking,1.MOV,5178,train
Flakings/1.MOV_20201221091849_5179.JPEG,flaking,1.MOV,5179,train
Flakings/1.MOV_20201221091849_5180.JPEG,flaking,1.MOV,5180,train
Flakings/1.MOV_20201221091849_5181.JPEG,flaking,1.MOV,5181,train
Flakings/1.MOV_20201221091849_5182.JPEG,flaking,1.MOV,5182,train
Flakings/1.MOV_20201221091849_5183.JPEG,flaking,1.MOV,5183,train
Flakings/1.MOV_20201221091849_5184.JPEG,flaking,1.MOV,5184,train
Flakings/1.MOV_20201221091849_5185.JPEG,flaking,1.MOV,5185,train
Flakings/1.MOV_20201221091849_5186.JPEG,flaking,1.MOV,5186,train
Flakings/1.MOV_20201221091849_5187.JPEG,flaking,1.MOV,5187,train
Flakings/1.MOV_20201221091849_5188.JPEG,flaking,1.MOV,5188,train
Flakings/1.MOV_20201221091849_5189.JPEG,flaking,1.MOV,5189,train
Flakings/1.MOV_20201221091849_5190.JPEG,flaking,1.MOV,5190,train
Flakings/1.MOV_20201221091849_5204.JPEG,flaking,1.MOV,5204,train
Flakings/1.MOV_20201221091849_5205.JPEG,flaking,1.MOV,5205,train
Flakings/1.MOV_20201221091849_5206.JPEG,flaking,1.MOV,5206,train
Flakings/1.MOV_20201221091849_5207.JPEG,flaking,1.MOV,5207,train
Flakings/1.MOV_20201221091849_5208.JPEG,flaking,1.MOV,5208,train
Flakings/1.MOV_20201221091849_5209.JPEG,flaking,1.MOV,5209,train
Flakings/1.MOV_20201221091849_5210.JPEG,flaking,1.MOV,5210,train
Flakings/1.MOV_20201221091849_5211.JPEG,flaking,1.MOV,5211,train
Flakings/1.MOV_20201221091849_5212.JPEG,flaking,1.MOV,5212,train
Flakings/1.MOV_20201221091849_5213.JPEG,flaking,1.MOV,5213,train
Flakings/1.MOV_20201221091849_5214.JPEG,flaking,1.MOV,5214,train
Flakings/1.MOV_20201221091849_5215.JPEG,flaking,1.MOV,5215,train
Flakings/1.MOV_20201221091849_5216.JPEG,flaking,1.MOV,5216,train
Flakings/1.MOV_20201221091849_5217.JPEG,flaking,1.MOV,5217,train
Flakings/1.MOV_20201221091849_5218.JPEG,flaking,1.MOV,5218,train
Flakings/1.MOV_20201221091849_5219.JPEG,flaking,1.MOV,5219,train
Flakings/1.MOV_20201221091849_5220.JPEG,flaking,1.MOV,5220,train
Flakings/1.MOV_20201221091849_5221.JPEG,flaking,1.MOV,5221,train
Flakings/1.MOV_20201221091849_5222.JPEG,flaking,1.MOV,5222,train
Flakings/1.MOV_20201221091849_5223.JPEG,flaking,1.MOV,5223,train
Flakings/1.MOV_20201221091849_5224.JPEG,flaking,1.MOV,5224,train
